time,open,high,low,close,MA,Smoothing Line,Developing Poc,Developing VA High,Developing VA Low,Rolling POC,Volume,Volume MA
1636390800,175.5,175.66,175.397,175.481,NaN,NaN,NaN,NaN,NaN,NaN,39480,65216
1636391700,175.39,175.58,175.367,175.369,NaN,NaN,NaN,NaN,NaN,NaN,28300,64631
1636392600,175.5935,175.8605,175.522,175.6085,NaN,NaN,NaN,NaN,NaN,NaN,38000,63831
1636393500,175.488,175.709,175.488,175.615,NaN,NaN,NaN,NaN,NaN,NaN,10000,62172
1636394400,175.883,176.0525,175.883,176.0525,NaN,NaN,NaN,NaN,NaN,NaN,14000,61074
1636395300,175.8905,176.0275,175.8455,175.91,NaN,NaN,NaN,NaN,NaN,NaN,12000,58950
1636396200,175.8485,175.8485,175.5675,175.5675,NaN,NaN,NaN,NaN,NaN,NaN,12000,52550
1636397100,175.5945,175.5945,175.3555,175.3555,NaN,NaN,NaN,NaN,NaN,NaN,18780,49789
1636398000,175.422,175.5,175.334,175.3845,NaN,NaN,NaN,NaN,NaN,NaN,18120,46155
1636398900,175.6,175.6,175.216,175.216,NaN,NaN,NaN,NaN,NaN,NaN,8360,39787
1636399800,174.827,175.13,174.5735,175.129,NaN,NaN,NaN,NaN,NaN,NaN,42220,30448
1636400700,175.241,175.532,175.1425,175.1865,NaN,NaN,NaN,NaN,NaN,NaN,50000,31339
1636401600,175.0845,175.345,175.0845,175.163,NaN,NaN,NaN,NaN,NaN,NaN,20000,29839
1636402500,175.177,175.177,175.0075,175.0075,NaN,NaN,NaN,NaN,NaN,NaN,20000,27689
1636403400,175.114,175.174,174.9175,174.9175,NaN,NaN,NaN,NaN,NaN,NaN,56400,27742
1636404300,174.6445,174.9735,174.4115,174.415,NaN,NaN,NaN,NaN,NaN,NaN,79320,28698
1636468200,175.7525,176.8475,175.336,176.7615,NaN,NaN,NaN,NaN,NaN,NaN,85120,32154
1636469100,176.7005,176.832,175.6315,175.9075,NaN,NaN,NaN,NaN,NaN,NaN,201560,39185
1636470000,175.8325,175.97325,175.1,175.548,NaN,NaN,NaN,NaN,NaN,NaN,54000,41083
1636470900,175.5365,176.25,175.5365,176.1395,NaN,NaN,NaN,NaN,NaN,NaN,50740,42920
1636471800,176.045,177.1395,176.0425,177.1375,NaN,NaN,NaN,NaN,NaN,NaN,93100,45601
1636472700,177.137,177.25,176.5285,176.8815,NaN,NaN,NaN,NaN,NaN,NaN,51740,46773
1636473600,177.001,177.1415,176.7905,176.8255,NaN,NaN,NaN,NaN,NaN,NaN,40000,46873
1636474500,176.9475,177.0455,176.8895,176.8925,NaN,NaN,NaN,NaN,NaN,NaN,16720,47209
1636475400,176.9785,178.3175,176.8665,178.3175,NaN,NaN,NaN,NaN,NaN,NaN,75720,50295
1636476300,178.1255,178.6805,178.024,178.278,NaN,NaN,NaN,NaN,NaN,NaN,80780,53734
1636477200,177.8855,178.142,177.693,178.0315,NaN,NaN,NaN,NaN,NaN,NaN,54000,55834
1636478100,178.157,178.157,177.867,178.0655,NaN,NaN,NaN,NaN,NaN,NaN,22060,55998
1636479000,178.122,178.55,178.122,178.489,NaN,NaN,NaN,NaN,NaN,NaN,24340,56309
1636479900,178.6225,179.5015,178.6225,179.4365,NaN,NaN,NaN,NaN,NaN,NaN,100980,60940
1636480800,179.5,179.521,178.8685,179.3225,NaN,NaN,NaN,NaN,NaN,NaN,113260,64492
1636481700,179.2755,179.649,179.237,179.237,NaN,NaN,NaN,NaN,NaN,NaN,50440,64514
1636482600,179.44575,179.45,178.834,179.235,NaN,NaN,NaN,NaN,NaN,NaN,58500,66439
1636483500,179.3825,179.3915,178.8605,179.07,NaN,NaN,NaN,NaN,NaN,NaN,40000,67439
1636484400,179.1615,179.2075,178.838,179.014,NaN,NaN,NaN,NaN,NaN,NaN,40000,66619
1636485300,179.1,179.36,179.1,179.231,NaN,NaN,NaN,NaN,NaN,NaN,40000,64653
1636486200,179.258,179.34725,179.0105,179.039,NaN,NaN,NaN,NaN,NaN,NaN,30000,61897
1636487100,179.0195,179.022,178.225,178.627,NaN,NaN,NaN,NaN,NaN,NaN,90000,56319
1636488000,178.476,178.76,178.4555,178.5305,NaN,NaN,NaN,NaN,NaN,NaN,66500,56944
1636488900,178.566,178.576,178.203,178.4305,NaN,NaN,NaN,NaN,NaN,NaN,60680,57441
1636489800,178.4735,178.8515,178.38375,178.8125,NaN,NaN,NaN,NaN,NaN,NaN,70000,56286
1636490700,178.681,178.995,178.4655,178.8585,NaN,NaN,NaN,NaN,NaN,NaN,256760,66537
1636554600,178.2,179.3115,177.302,179.1085,NaN,NaN,NaN,NaN,NaN,NaN,251540,77114
1636555500,179.1845,179.871,178.982,179.7605,NaN,NaN,NaN,NaN,NaN,NaN,199580,86257
1636556400,179.8545,179.8545,179.2555,179.5805,NaN,NaN,NaN,NaN,NaN,NaN,52800,85111
1636557300,179.90925,180.106,179.45,179.6205,NaN,NaN,NaN,NaN,NaN,NaN,66540,84399
1636558200,179.5,179.625,179.326,179.4935,NaN,NaN,NaN,NaN,NaN,NaN,18000,82599
1636559100,179.614,180.259,179.614,180.0395,NaN,NaN,NaN,NaN,NaN,NaN,26000,82796
1636560000,179.953,180.196,179.953,180.11325,NaN,NaN,NaN,NaN,NaN,NaN,35860,83372
1636560900,179.9875,180.117,179.582,179.582,NaN,NaN,NaN,NaN,NaN,NaN,28080,79727
1636561800,179.645,179.7315,179.233,179.313,NaN,NaN,NaN,NaN,NaN,NaN,46960,76412
1636562700,179.354,179.6255,179.3375,179.6255,NaN,NaN,NaN,NaN,NaN,NaN,66320,77206
1636563600,179.7,179.81,179.586,179.606,NaN,NaN,NaN,NaN,NaN,NaN,32000,75881
1636564500,179.656,179.656,179,179,NaN,NaN,NaN,NaN,NaN,NaN,26600,75211
1636565400,178.95,178.95,178.1425,178.191,NaN,NaN,NaN,NaN,NaN,NaN,42220,75322
1636566300,177.9865,178.4145,177.9865,178.4145,NaN,NaN,NaN,NaN,NaN,NaN,18000,74222
1636567200,178.552,178.552,176.438,176.5,NaN,NaN,NaN,NaN,NaN,NaN,99680,77706
1636568100,176.7,177.4045,176.644,177.3365,NaN,NaN,NaN,NaN,NaN,NaN,48100,75611
1636569000,177.2865,177.5315,176.951,176.951,NaN,NaN,NaN,NaN,NaN,NaN,55880,75080
1636569900,176.5735,176.5735,176.1295,176.541,NaN,NaN,NaN,NaN,NaN,NaN,27540,73423
1636570800,176.1175,176.181,175.548,175.548,NaN,NaN,NaN,NaN,NaN,NaN,36000,71723
1636571700,175.2505,175.317,174.4,174.4005,NaN,NaN,NaN,NaN,NaN,NaN,73740,62572
1636572600,174.462,174.6525,173.679,173.8305,NaN,NaN,NaN,NaN,NaN,NaN,84320,54211
1636573500,173.7365,174.6105,173.7365,174.1985,NaN,NaN,NaN,NaN,NaN,NaN,51460,46805
1636574400,174.2035,174.699,174.1485,174.6275,NaN,NaN,NaN,NaN,NaN,NaN,51020,46716
1636575300,174.578,174.8925,174.48,174.5095,NaN,NaN,NaN,NaN,NaN,NaN,63000,46539
1636576200,174.369,174.4525,173.321,173.34,NaN,NaN,NaN,NaN,NaN,NaN,149380,53108
1636577100,173.275,174.3945,173.226,174.1435,NaN,NaN,NaN,NaN,NaN,NaN,328100,68213
1636641000,175.65,176.4325,175.1415,175.4875,NaN,NaN,NaN,NaN,NaN,NaN,126820,72761
1636641900,175.8685,177.019,175.777,176.9495,NaN,NaN,NaN,NaN,NaN,NaN,112920,77003
1636642800,176.497,176.7125,176.25,176.54,NaN,NaN,NaN,NaN,NaN,NaN,58000,77555
1636643700,176.5825,176.5825,175.329,175.3405,NaN,NaN,NaN,NaN,NaN,NaN,36000,76039
1636644600,175.45,176.0655,175.3825,176.0655,NaN,NaN,NaN,NaN,NaN,NaN,44480,76663
1636645500,176.1265,176.1265,175.721,175.721,NaN,NaN,NaN,NaN,NaN,NaN,20000,76333
1636646400,175.565,175.5785,175.127,175.127,NaN,NaN,NaN,NaN,NaN,NaN,22760,75360
1636647300,175.38,175.9545,175.38,175.853,NaN,NaN,NaN,NaN,NaN,NaN,30180,75969
1636648200,175.6775,176.064,175.548,176.064,NaN,NaN,NaN,NaN,NaN,NaN,8000,71385
1636649100,176.0485,176.0485,175.574,175.7315,NaN,NaN,NaN,NaN,NaN,NaN,10000,69480
1636650000,175.703,175.703,175.2005,175.2215,NaN,NaN,NaN,NaN,NaN,NaN,64000,69886
1636650900,175.124,175.124,174.5045,174.965,NaN,NaN,NaN,NaN,NaN,NaN,38100,70414
1636651800,174.83,175.1865,174.826,175.152,NaN,NaN,NaN,NaN,NaN,NaN,36000,70414
1636652700,175.1715,175.1715,174.8455,174.8455,NaN,NaN,NaN,NaN,NaN,NaN,10000,67227
1636653600,174.712,174.721,174.5625,174.572,NaN,NaN,NaN,NaN,NaN,NaN,24000,64211
1636654500,174.5325,174.765,174.5325,174.765,NaN,NaN,NaN,NaN,NaN,NaN,38000,63538
1636655400,174.805,174.805,174.5445,174.5445,NaN,NaN,NaN,NaN,NaN,NaN,32000,62587
